Density,Proportion_forceps
0.151573282,0.146737391
0.18589981,0.037811299
2.375724852,0.070926838
3.206856329,0.23834882
4.544141742,0.196546603
5.043276075,0.01599387
7.610545589,0.251848067
8.093568564,0.128480284
12.32707067,0.661635854
19.75863221,0.193062761
24.78509781,0.318811358
25.53686689,0.061208412
30.88697974,0.224558452
32.42175978,0.548323403
33.28207271,0.618838002
33.53847768,0.524168063
33.56564508,0.442720417
43.09450063,0.300042125
52.32090764,0.384291458
56.70422939,0.466002226
63.79429453,0.380575668
70.16072949,0.462401647