Time_min,Recirculation-A,Recirculation-B,Recirculation-C,Recirculation-D,Recirculation-E,Recirculation-F,Static-A,Static-B,Static-C,Static-D,Static-E,Static-F
0,2.4174,4.1258,3.9148,5.0967,4.0608,3.0310,3.8487,2.6156,3.5934,4.0467,4.6962,3.4938
24,2.6730,3.3460,3.4852,4.6338,3.2421,2.6903,3.3705,2.7257,3.6244,4.4603,2.7545,3.3176
48,1.8382,2.9737,2.9765,3.6245,2.7228,2.4513,2.9515,2.1142,3.1014,2.9828,2.6805,3.2864
72,1.8691,2.8111,2.1309,3.5487,2.7836,2.1105,2.1176,1.8388,2.7190,3.6827,2.1621,2.3010
96,2.0497,2.8040,1.9217,3.2877,2.5532,2.5337,2.4368,2.2048,2.3409,3.6570,2.0889,2.6702
120,1.9959,2.5739,2.4403,3.6539,2.5535,2.2883,2.2659,1.9745,2.6424,4.0234,2.0332,2.5162
144,1.8212,2.5832,2.5101,3.5638,2.5452,2.6076,2.2063,2.2505,2.7616,4.1187,1.6546,2.6268
168,1.5477,2.4581,2.0497,3.0868,2.2629,2.0773,2.4104,1.7913,2.1721,3.5567,1.9532,2.0833
192,1.6730,2.1218,2.3689,3.9001,2.4583,2.7336,2.2976,2.3605,2.4718,4.0147,1.4240,2.4653
216,1.7603,2.2428,2.4871,3.5978,2.4197,2.4283,2.3566,2.0948,2.6440,3.1803,1.1908,2.7375
240,1.6187,2.3910,2.2321,3.6613,2.1806,2.5732,2.1106,2.2212,2.5270,3.9989,1.2112,2.2277
264,1.6154,2.4473,2.5164,3.7075,2.5348,2.6687,2.3139,2.3038,2.6720,4.0788,1.2138,2.1487
288,1.5309,2.1522,2.4750,3.9866,2.2221,2.2109,2.4451,1.9057,2.5371,4.0348,1.2320,2.1671
312,1.5734,2.4994,2.3282,4.0748,2.5816,2.2888,1.8981,1.9743,2.8122,3.4316,1.3877,2.3142
336,1.5510,2.4217,2.8313,3.8123,2.4738,1.9289,2.0859,1.6531,2.6713,3.3882,1.4549,2.3274
360,1.4610,3.0143,2.3574,3.7838,2.5542,2.2545,2.5411,1.9443,2.1786,3.1205,1.2105,2.5117
384,1.6357,2.3594,2.1690,3.7383,2.1337,2.5068,2.2092,2.1631,2.4596,3.3902,1.7012,2.3588
408,1.4844,2.4082,2.4342,3.7250,2.3825,2.8301,2.0928,2.2180,2.6756,3.7821,1.5243,2.1713