Species,N
Abaeis nicippe,0
Ancyloxypha numitor,0
Apodemia nais,0
Asterocampa celtis,0
Atrytone arogos,0
Callophrys apama,0
Celestrina ladon,0
Cercyonis oetus,0
Cercyonis pegala,26
Coenonympha tulliea,0
Colias eurytheme,0
Colias philodice,10
Everes amyntula,0
Danaus plexippus,0
Epargyreus clarus,0
Erebia epipsodea,0
Erynnis persius,1
Euchloe ausonides,0
Euphilotes ancilla,0
Euphyes bimacula,0
Euphyes vestris,0
Euptoieta claudia,143
Everes amyntula,0
Everes comyntas,0
Glaucopsyche lygdamus,0
Hemiargus isola,0
Hesperia comma ,0
Hesperia leonardus pawnee,0
Hesperia ottoe,0
Hesperia uncas,0
Junonia coenia,0
Leptotes marina,0
Limenitis archippus,0
Limenitis weidemeyerii,0
Lycaeides melissa,0
Lycaena heteronea,0
Lycaena hyllus,0
Nathalis iole,0
Nymphalis antiopa,0
Oarisma garita,0
Ochlodes sylvanoides,0
Oeneis chryxus,0
Papilio eurymedon,0
Papilio multicaudatus,0
Papilio polyxenes,0
Papilio rutulus,0
Pieris rapae,0
Pholisora catullus,0
Phyciodes campestris camilla,0
Phyciodes cocyta,0
Phyciodes pallida,0
Phyciodes tharos,0
Plebejus acmon,0
Plebejus icarioides,0
Poanes taxiles,0
Polites mystic dacotah,0
Polites thermistocles,0
Polygonia gracilis,0
Pontia occidentalis,0
Pontia protodice,44
Pyrgus communis,1
Satyrium acadica,0
Satyrium liparops,0
Satyrium saepium,0
Speyeria aphrodite,59
Speyeria atlantis,0
Speyeria edwardsii,17
Speyeria hesperis,0
Strymon melinus,7
Vanessa atalanta,0
Vanessa cardui,0