Treatment,Block,Richness
control,S1,47
control,S1,58
control,S1,54
control,S1,45
control,S1,47
control,S1,28
control,S1,45
control,S1,20
control,S1,58
control,S1,50
control,S1,19
control,S1,25
control,S1,32
control,S1,35
control,S1,39
control,S1,30
burn,S1,44
burn,S1,43
burn,S1,45
burn,S1,44
burn,S1,63
burn,S1,28
burn,S1,44
burn,S1,50
burn,S1,51
burn,S1,49
burn,S1,30
burn,S1,39
burn,S1,33
burn,S1,54
burn,S1,58
burn,S1,41
mow,S1,15
mow,S1,52
mow,S1,52
mow,S1,27
mow,S1,52
mow,S1,35
mow,S1,33
mow,S1,41
mow,S1,28
mow,S1,37
mow,S1,39
mow,S1,45
mow,S1,39
mow,S1,44
mow,S1,30
mow,S1,87
control,S2,34
control,S2,47
control,S2,48
control,S2,42
control,S2,57
control,S2,56
control,S2,53
control,S2,48
control,S2,40
control,S2,56
control,S2,46
control,S2,56
control,S2,48
burn,S2,50
burn,S2,54
burn,S2,50
burn,S2,51
burn,S2,70
burn,S2,50
burn,S2,74
burn,S2,37
burn,S2,49
burn,S2,43
burn,S2,54
burn,S2,34
burn,S2,47
mow,S2,62
mow,S2,39
mow,S2,65
mow,S2,38
mow,S2,55
mow,S2,59
mow,S2,43
mow,S2,36
mow,S2,61
mow,S2,66
mow,S2,36
mow,S2,61
mow,S2,41
control,S3,61
control,S3,56
control,S3,60
control,S3,76
control,S3,41
control,S3,55
control,S3,54
control,S3,54
control,S3,41
control,S3,45
control,S3,65
control,S3,49
control,S3,60
burn,S3,54
burn,S3,66
burn,S3,70
burn,S3,62
burn,S3,48
burn,S3,54
burn,S3,47
burn,S3,44
burn,S3,39
burn,S3,47
burn,S3,50
burn,S3,44
burn,S3,47
mow,S3,64
mow,S3,55
mow,S3,31
mow,S3,51
mow,S3,41
mow,S3,55
mow,S3,32
mow,S3,67
mow,S3,59
mow,S3,76
mow,S3,54
mow,S3,51
mow,S3,43
control,S4,47
control,S4,45
control,S4,28
control,S4,49
control,S4,45
control,S4,39
control,S4,43
control,S4,36
control,S4,66
control,S4,44
burn,S4,35
burn,S4,61
burn,S4,41
burn,S4,43
burn,S4,50
burn,S4,38
burn,S4,48
burn,S4,50
burn,S4,57
burn,S4,55
mow,S4,50
mow,S4,52
mow,S4,54
mow,S4,46
mow,S4,47
mow,S4,45
mow,S4,34
mow,S4,50
mow,S4,53
mow,S4,52
control,S5,55
control,S5,57
control,S5,63
control,S5,37
control,S5,63
control,S5,36
control,S5,60
control,S5,33
burn,S5,71
burn,S5,51
burn,S5,63
burn,S5,61
burn,S5,53
burn,S5,65
burn,S5,51
burn,S5,41
mow,S5,47
mow,S5,64
mow,S5,54
mow,S5,49
mow,S5,56
mow,S5,45
mow,S5,59
mow,S5,56
control,S6,49
control,S6,34
control,S6,34
control,S6,42
control,S6,42
control,S6,41
control,S6,35
control,S6,56
control,S6,38
control,S6,66
control,S6,43
control,S6,46
burn,S6,45
burn,S6,57
burn,S6,35
burn,S6,60
burn,S6,39
burn,S6,28
burn,S6,31
burn,S6,37
burn,S6,32
burn,S6,56
burn,S6,55
burn,S6,48
mow,S6,42
mow,S6,44
mow,S6,53
mow,S6,41
mow,S6,46
mow,S6,44
mow,S6,55
mow,S6,40
mow,S6,28
mow,S6,37
mow,S6,53
mow,S6,33
control,S7,51
control,S7,32
control,S7,46
control,S7,42
control,S7,59
control,S7,48
control,S7,28
control,S7,51
control,S7,59
control,S7,60
control,S7,44
control,S7,30
burn,S7,64
burn,S7,48
burn,S7,27
burn,S7,55
burn,S7,49
burn,S7,50
burn,S7,52
burn,S7,54
burn,S7,66
burn,S7,79
burn,S7,60
burn,S7,42
mow,S7,47
mow,S7,49
mow,S7,47
mow,S7,32
mow,S7,41
mow,S7,45
mow,S7,47
mow,S7,60
mow,S7,53
mow,S7,65
mow,S7,42
mow,S7,35
control,S8,29
control,S8,37
control,S8,42
control,S8,33
control,S8,66
burn,S8,41
burn,S8,44
burn,S8,36
burn,S8,55
burn,S8,44
mow,S8,44
mow,S8,46
mow,S8,29
mow,S8,37
mow,S8,51
control,S9,63
control,S9,39
control,S9,48
control,S9,36
control,S9,44
control,S9,48
control,S9,55
control,S9,45
control,S9,46
burn,S9,43
burn,S9,54
burn,S9,60
burn,S9,47
burn,S9,64
burn,S9,63
burn,S9,54
burn,S9,54
burn,S9,31
mow,S9,71
mow,S9,68
mow,S9,34
mow,S9,59
mow,S9,67
mow,S9,42
mow,S9,82
mow,S9,55
mow,S9,34
control,S10,49
control,S10,43
control,S10,31
control,S10,34
control,S10,43
control,S10,42
control,S10,20
burn,S10,43
burn,S10,57
burn,S10,56
burn,S10,34
burn,S10,38
burn,S10,49
burn,S10,43
mow,S10,42
mow,S10,47
mow,S10,38
mow,S10,61
mow,S10,50
mow,S10,46
mow,S10,55
control,S11,61
control,S11,52
control,S11,38
control,S11,28
control,S11,57
control,S11,49
control,S11,40
control,S11,64
control,S11,40
control,S11,30
control,S11,37
burn,S11,39
burn,S11,59
burn,S11,42
burn,S11,46
burn,S11,61
burn,S11,28
burn,S11,44
burn,S11,51
burn,S11,50
burn,S11,50
burn,S11,36
mow,S11,37
mow,S11,58
mow,S11,20
mow,S11,53
mow,S11,35
mow,S11,53
mow,S11,43
mow,S11,40
mow,S11,56
mow,S11,37
mow,S11,47
control,S12,54
control,S12,52
control,S12,61
control,S12,61
control,S12,74
control,S12,63
control,S12,29
burn,S12,62
burn,S12,50
burn,S12,57
burn,S12,54
burn,S12,39
burn,S12,61
burn,S12,44
mow,S12,68
mow,S12,41
mow,S12,60
mow,S12,56
mow,S12,58
mow,S12,59
mow,S12,88
control,S13,39
control,S13,61
control,S13,40
control,S13,50
control,S13,59
control,S13,40
control,S13,43
control,S13,36
control,S13,45
control,S13,52
burn,S13,49
burn,S13,33
burn,S13,52
burn,S13,9
burn,S13,48
burn,S13,36
burn,S13,40
burn,S13,32
burn,S13,39
burn,S13,49
mow,S13,43
mow,S13,45
mow,S13,48
mow,S13,54
mow,S13,46
mow,S13,54
mow,S13,35
mow,S13,49
mow,S13,28
mow,S13,37
control,S14,29
control,S14,47
control,S14,44
control,S14,63
control,S14,70
control,S14,57
control,S14,48
control,S14,70
control,S14,62
control,S14,56
control,S14,63
control,S14,40
control,S14,55
control,S14,51
control,S14,38
control,S14,60
burn,S14,51
burn,S14,50
burn,S14,62
burn,S14,60
burn,S14,70
burn,S14,40
burn,S14,58
burn,S14,52
burn,S14,57
burn,S14,51
burn,S14,71
burn,S14,64
burn,S14,51
burn,S14,41
burn,S14,69
burn,S14,63
mow,S14,73
mow,S14,63
mow,S14,34
mow,S14,29
mow,S14,48
mow,S14,43
mow,S14,68
mow,S14,55
mow,S14,60
mow,S14,65
mow,S14,55
mow,S14,42
mow,S14,49
mow,S14,64
mow,S14,55
mow,S14,74
control,S15,47
control,S15,46
control,S15,35
control,S15,36
control,S15,72
burn,S15,52
burn,S15,55
burn,S15,45
burn,S15,52
burn,S15,50
mow,S15,38
mow,S15,15
mow,S15,54
mow,S15,51
mow,S15,45
control,S16,43
control,S16,55
control,S16,33
control,S16,42
control,S16,57
control,S16,48
control,S16,54
burn,S16,46
burn,S16,60
burn,S16,56
burn,S16,52
burn,S16,60
burn,S16,50
burn,S16,41
mow,S16,64
mow,S16,52
mow,S16,40
mow,S16,60
mow,S16,30
mow,S16,51
mow,S16,43
control,S17,54
control,S17,30
control,S17,42
control,S17,44
control,S17,42
control,S17,41
control,S17,55
control,S17,39
control,S17,47
control,S17,35
control,S17,54
control,S17,57
control,S17,61
control,S17,57
control,S17,49
burn,S17,53
burn,S17,70
burn,S17,66
burn,S17,49
burn,S17,56
burn,S17,52
burn,S17,59
burn,S17,44
burn,S17,39
burn,S17,43
burn,S17,40
burn,S17,52
burn,S17,59
burn,S17,53
burn,S17,76
mow,S17,61
mow,S17,77
mow,S17,62
mow,S17,51
mow,S17,39
mow,S17,57
mow,S17,53
mow,S17,49
mow,S17,43
mow,S17,39
mow,S17,42
mow,S17,60
mow,S17,61
mow,S17,60
mow,S17,36
control,S18,40
control,S18,27
control,S18,44
control,S18,54
control,S18,50
control,S18,45
control,S18,63
control,S18,47
control,S18,43
control,S18,47
control,S18,55
control,S18,32
control,S18,54
control,S18,60
burn,S18,27
burn,S18,63
burn,S18,47
burn,S18,34
burn,S18,29
burn,S18,50
burn,S18,36
burn,S18,38
burn,S18,31
burn,S18,64
burn,S18,45
burn,S18,48
burn,S18,55
burn,S18,73
mow,S18,42
mow,S18,29
mow,S18,54
mow,S18,35
mow,S18,51
mow,S18,18
mow,S18,42
mow,S18,53
mow,S18,31
mow,S18,58
mow,S18,41
mow,S18,37
mow,S18,57
mow,S18,46
control,S19,57
control,S19,32
control,S19,47
control,S19,51
control,S19,45
control,S19,37
control,S19,55
control,S19,37
control,S19,51
control,S19,53
control,S19,39
control,S19,48
control,S19,49
control,S19,48
control,S19,49
control,S19,42
burn,S19,58
burn,S19,57
burn,S19,52
burn,S19,58
burn,S19,41
burn,S19,61
burn,S19,22
burn,S19,46
burn,S19,47
burn,S19,54
burn,S19,44
burn,S19,20
burn,S19,54
burn,S19,33
burn,S19,46
burn,S19,65
mow,S19,24
mow,S19,50
mow,S19,41
mow,S19,43
mow,S19,49
mow,S19,65
mow,S19,33
mow,S19,40
mow,S19,40
mow,S19,29
mow,S19,36
mow,S19,47
mow,S19,55
mow,S19,51
mow,S19,46
mow,S19,58
control,S20,49
control,S20,45
control,S20,43
control,S20,47
control,S20,51
control,S20,24
control,S20,32
control,S20,47
control,S20,49
control,S20,45
control,S20,52
control,S20,55
control,S20,44
control,S20,52
control,S20,32
burn,S20,60
burn,S20,62
burn,S20,44
burn,S20,50
burn,S20,54
burn,S20,47
burn,S20,24
burn,S20,44
burn,S20,39
burn,S20,50
burn,S20,64
burn,S20,16
burn,S20,52
burn,S20,43
burn,S20,43
mow,S20,51
mow,S20,56
mow,S20,66
mow,S20,53
mow,S20,60
mow,S20,42
mow,S20,46
mow,S20,41
mow,S20,64
mow,S20,40
mow,S20,60
mow,S20,60
mow,S20,30
mow,S20,57
mow,S20,33
control,S21,38
control,S21,36
control,S21,61
control,S21,66
control,S21,50
control,S21,46
control,S21,60
burn,S21,56
burn,S21,58
burn,S21,49
burn,S21,44
burn,S21,75
burn,S21,46
burn,S21,49
mow,S21,67
mow,S21,55
mow,S21,45
mow,S21,40
mow,S21,61
mow,S21,44
mow,S21,47
control,S22,44
control,S22,48
control,S22,49
control,S22,46
control,S22,67
burn,S22,47
burn,S22,52
burn,S22,30
burn,S22,53
burn,S22,42
mow,S22,51
mow,S22,46
mow,S22,42
mow,S22,55
mow,S22,56
control,S23,52
control,S23,44
control,S23,49
control,S23,37
control,S23,33
control,S23,52
control,S23,59
control,S23,68
control,S23,58
control,S23,45
control,S23,51
control,S23,56
control,S23,31
control,S23,51
control,S23,57
control,S23,47
control,S23,59
control,S23,48
control,S23,53
burn,S23,48
burn,S23,41
burn,S23,57
burn,S23,41
burn,S23,58
burn,S23,41
burn,S23,49
burn,S23,43
burn,S23,43
burn,S23,56
burn,S23,50
burn,S23,47
burn,S23,43
burn,S23,44
burn,S23,47
burn,S23,67
burn,S23,71
burn,S23,26
burn,S23,64
mow,S23,35
mow,S23,60
mow,S23,44
mow,S23,30
mow,S23,42
mow,S23,39
mow,S23,33
mow,S23,42
mow,S23,57
mow,S23,37
mow,S23,62
mow,S23,18
mow,S23,62
mow,S23,55
mow,S23,60
mow,S23,48
mow,S23,70
mow,S23,52
mow,S23,51
control,S24,52
control,S24,54
control,S24,48
control,S24,60
control,S24,53
control,S24,53
control,S24,45
burn,S24,54
burn,S24,56
burn,S24,44
burn,S24,52
burn,S24,41
burn,S24,47
burn,S24,56
mow,S24,58
mow,S24,53
mow,S24,33
mow,S24,64
mow,S24,40
mow,S24,59
mow,S24,68
control,S25,52
control,S25,44
control,S25,54
control,S25,37
control,S25,46
control,S25,51
control,S25,59
control,S25,35
control,S25,54
control,S25,49
control,S25,38
burn,S25,61
burn,S25,49
burn,S25,45
burn,S25,56
burn,S25,38
burn,S25,42
burn,S25,51
burn,S25,37
burn,S25,41
burn,S25,70
burn,S25,34
mow,S25,62
mow,S25,41
mow,S25,65
mow,S25,38
mow,S25,36
mow,S25,57
mow,S25,58
mow,S25,33
mow,S25,70
mow,S25,68
mow,S25,53
control,S26,39
control,S26,51
control,S26,62
control,S26,42
control,S26,55
control,S26,63
control,S26,35
control,S26,36
control,S26,16
control,S26,38
control,S26,64
control,S26,52
control,S26,30
control,S26,33
control,S26,38
control,S26,52
control,S26,57
control,S26,62
control,S26,49
burn,S26,65
burn,S26,50
burn,S26,49
burn,S26,53
burn,S26,41
burn,S26,36
burn,S26,41
burn,S26,62
burn,S26,72
burn,S26,48
burn,S26,51
burn,S26,37
burn,S26,47
burn,S26,57
burn,S26,35
burn,S26,41
burn,S26,52
burn,S26,34
burn,S26,53
mow,S26,56
mow,S26,47
mow,S26,58
mow,S26,71
mow,S26,65
mow,S26,47
mow,S26,45
mow,S26,51
mow,S26,50
mow,S26,53
mow,S26,57
mow,S26,50
mow,S26,41
mow,S26,52
mow,S26,48
mow,S26,65
mow,S26,40
mow,S26,49
mow,S26,56
control,S27,66
control,S27,33
control,S27,50
control,S27,56
control,S27,60
control,S27,52
control,S27,68
burn,S27,48
burn,S27,47
burn,S27,54
burn,S27,69
burn,S27,72
burn,S27,50
burn,S27,48
mow,S27,48
mow,S27,44
mow,S27,51
mow,S27,49
mow,S27,48
mow,S27,47
mow,S27,61
control,S28,30
control,S28,56
control,S28,63
control,S28,46
control,S28,74
control,S28,46
burn,S28,64
burn,S28,37
burn,S28,61
burn,S28,39
burn,S28,35
burn,S28,60
mow,S28,52
mow,S28,70
mow,S28,66
mow,S28,41
mow,S28,61
mow,S28,63
control,S29,52
control,S29,51
control,S29,61
control,S29,58
control,S29,71
control,S29,52
control,S29,62
control,S29,61
control,S29,68
control,S29,49
control,S29,69
control,S29,50
control,S29,50
control,S29,59
control,S29,68
control,S29,67
control,S29,56
burn,S29,69
burn,S29,67
burn,S29,52
burn,S29,37
burn,S29,77
burn,S29,67
burn,S29,63
burn,S29,29
burn,S29,55
burn,S29,60
burn,S29,70
burn,S29,57
burn,S29,69
burn,S29,64
burn,S29,44
burn,S29,74
burn,S29,53
mow,S29,50
mow,S29,45
mow,S29,52
mow,S29,47
mow,S29,59
mow,S29,58
mow,S29,50
mow,S29,33
mow,S29,63
mow,S29,76
mow,S29,65
mow,S29,64
mow,S29,66
mow,S29,42
mow,S29,64
mow,S29,63
mow,S29,83
control,S30,35
control,S30,31
control,S30,47
control,S30,43
control,S30,36
control,S30,47
control,S30,26
control,S30,31
control,S30,49
control,S30,49
control,S30,49
control,S30,51
control,S30,50
control,S30,46
burn,S30,33
burn,S30,52
burn,S30,55
burn,S30,28
burn,S30,62
burn,S30,32
burn,S30,43
burn,S30,52
burn,S30,33
burn,S30,23
burn,S30,49
burn,S30,47
burn,S30,61
burn,S30,32
mow,S30,36
mow,S30,40
mow,S30,31
mow,S30,35
mow,S30,54
mow,S30,44
mow,S30,56
mow,S30,36
mow,S30,39
mow,S30,53
mow,S30,40
mow,S30,52
mow,S30,56
mow,S30,41
control,S31,44
control,S31,39
control,S31,58
control,S31,64
control,S31,41
control,S31,51
control,S31,46
control,S31,53
control,S31,58
control,S31,41
control,S31,60
control,S31,39
control,S31,65
control,S31,64
control,S31,41
burn,S31,51
burn,S31,59
burn,S31,57
burn,S31,43
burn,S31,54
burn,S31,46
burn,S31,28
burn,S31,64
burn,S31,40
burn,S31,54
burn,S31,51
burn,S31,50
burn,S31,41
burn,S31,32
burn,S31,46
mow,S31,51
mow,S31,64
mow,S31,68
mow,S31,61
mow,S31,43
mow,S31,64
mow,S31,44
mow,S31,41
mow,S31,46
mow,S31,66
mow,S31,59
mow,S31,57
mow,S31,43
mow,S31,45
mow,S31,42
control,S32,22
control,S32,55
control,S32,37
control,S32,44
control,S32,20
control,S32,48
control,S32,60
control,S32,70
control,S32,37
control,S32,26
control,S32,36
burn,S32,46
burn,S32,31
burn,S32,40
burn,S32,38
burn,S32,27
burn,S32,32
burn,S32,40
burn,S32,38
burn,S32,45
burn,S32,33
burn,S32,37
mow,S32,25
mow,S32,37
mow,S32,43
mow,S32,33
mow,S32,45
mow,S32,47
mow,S32,40
mow,S32,35
mow,S32,42
mow,S32,23
mow,S32,20
control,S33,38
control,S33,48
control,S33,66
control,S33,29
control,S33,47
control,S33,41
burn,S33,31
burn,S33,55
burn,S33,49
burn,S33,45
burn,S33,46
burn,S33,30
mow,S33,50
mow,S33,73
mow,S33,49
mow,S33,54
mow,S33,49
mow,S33,53
control,S34,32
control,S34,53
control,S34,48
control,S34,71
control,S34,47
control,S34,50
control,S34,72
control,S34,55
control,S34,57
control,S34,48
control,S34,63
control,S34,64
control,S34,54
control,S34,49
control,S34,58
control,S34,61
control,S34,77
control,S34,46
control,S34,63
control,S34,42
burn,S34,38
burn,S34,54
burn,S34,78
burn,S34,54
burn,S34,43
burn,S34,46
burn,S34,50
burn,S34,52
burn,S34,53
burn,S34,58
burn,S34,64
burn,S34,43
burn,S34,49
burn,S34,35
burn,S34,48
burn,S34,53
burn,S34,48
burn,S34,43
burn,S34,41
burn,S34,48
mow,S34,60
mow,S34,43
mow,S34,57
mow,S34,64
mow,S34,78
mow,S34,50
mow,S34,30
mow,S34,52
mow,S34,59
mow,S34,54
mow,S34,58
mow,S34,63
mow,S34,56
mow,S34,61
mow,S34,57
mow,S34,66
mow,S34,49
mow,S34,55
mow,S34,57
mow,S34,55
control,S35,45
control,S35,76
control,S35,47
control,S35,60
control,S35,48
control,S35,63
control,S35,53
control,S35,53
burn,S35,61
burn,S35,48
burn,S35,54
burn,S35,33
burn,S35,58
burn,S35,66
burn,S35,43
burn,S35,53
mow,S35,48
mow,S35,52
mow,S35,57
mow,S35,57
mow,S35,43
mow,S35,57
mow,S35,50
mow,S35,69
control,S36,51
control,S36,60
control,S36,53
control,S36,16
control,S36,29
burn,S36,60
burn,S36,77
burn,S36,41
burn,S36,47
burn,S36,49
mow,S36,41
mow,S36,43
mow,S36,33
mow,S36,49
mow,S36,56
control,S37,41
control,S37,59
control,S37,47
control,S37,47
control,S37,25
control,S37,48
burn,S37,54
burn,S37,48
burn,S37,45
burn,S37,61
burn,S37,58
burn,S37,62
mow,S37,57
mow,S37,55
mow,S37,44
mow,S37,51
mow,S37,50
mow,S37,37
control,S38,44
control,S38,36
control,S38,39
control,S38,37
control,S38,35
control,S38,45
control,S38,61
control,S38,53
control,S38,29
control,S38,55
control,S38,40
control,S38,54
control,S38,48
control,S38,40
control,S38,17
burn,S38,40
burn,S38,62
burn,S38,63
burn,S38,56
burn,S38,43
burn,S38,57
burn,S38,43
burn,S38,39
burn,S38,26
burn,S38,36
burn,S38,17
burn,S38,24
burn,S38,68
burn,S38,43
burn,S38,49
mow,S38,41
mow,S38,60
mow,S38,22
mow,S38,35
mow,S38,45
mow,S38,41
mow,S38,43
mow,S38,47
mow,S38,48
mow,S38,68
mow,S38,49
mow,S38,27
mow,S38,51
mow,S38,50
mow,S38,53
control,S39,42
control,S39,29
control,S39,55
control,S39,43
control,S39,43
control,S39,33
control,S39,25
control,S39,40
control,S39,37
control,S39,37
control,S39,50
control,S39,47
control,S39,49
control,S39,44
control,S39,48
control,S39,58
control,S39,60
control,S39,42
control,S39,37
burn,S39,32
burn,S39,64
burn,S39,45
burn,S39,21
burn,S39,37
burn,S39,36
burn,S39,47
burn,S39,59
burn,S39,53
burn,S39,48
burn,S39,55
burn,S39,32
burn,S39,60
burn,S39,54
burn,S39,26
burn,S39,33
burn,S39,41
burn,S39,33
burn,S39,50
mow,S39,52
mow,S39,52
mow,S39,60
mow,S39,41
mow,S39,29
mow,S39,49
mow,S39,65
mow,S39,57
mow,S39,58
mow,S39,61
mow,S39,61
mow,S39,38
mow,S39,51
mow,S39,50
mow,S39,56
mow,S39,37
mow,S39,53
mow,S39,49
mow,S39,64
control,S40,62
control,S40,42
control,S40,64
control,S40,49
control,S40,38
control,S40,36
control,S40,43
control,S40,63
control,S40,61
control,S40,36
control,S40,68
burn,S40,49
burn,S40,52
burn,S40,53
burn,S40,42
burn,S40,62
burn,S40,36
burn,S40,54
burn,S40,56
burn,S40,32
burn,S40,50
burn,S40,47
mow,S40,33
mow,S40,64
mow,S40,42
mow,S40,55
mow,S40,39
mow,S40,63
mow,S40,64
mow,S40,52
mow,S40,54
mow,S40,74
mow,S40,38
control,S41,36
control,S41,59
control,S41,46
control,S41,45
control,S41,43
control,S41,42
control,S41,46
control,S41,49
control,S41,48
control,S41,37
control,S41,28
control,S41,31
control,S41,31
control,S41,67
control,S41,46
control,S41,42
burn,S41,64
burn,S41,78
burn,S41,49
burn,S41,55
burn,S41,44
burn,S41,57
burn,S41,41
burn,S41,35
burn,S41,51
burn,S41,47
burn,S41,40
burn,S41,58
burn,S41,49
burn,S41,50
burn,S41,71
burn,S41,33
mow,S41,55
mow,S41,42
mow,S41,39
mow,S41,39
mow,S41,46
mow,S41,62
mow,S41,55
mow,S41,58
mow,S41,60
mow,S41,35
mow,S41,64
mow,S41,67
mow,S41,52
mow,S41,59
mow,S41,40
mow,S41,37
control,S42,57
control,S42,43
control,S42,60
control,S42,76
control,S42,49
control,S42,42
control,S42,58
control,S42,58
control,S42,36
control,S42,46
control,S42,37
control,S42,39
control,S42,42
control,S42,58
control,S42,42
control,S42,67
control,S42,59
control,S42,38
control,S42,45
burn,S42,52
burn,S42,54
burn,S42,56
burn,S42,40
burn,S42,60
burn,S42,58
burn,S42,58
burn,S42,76
burn,S42,53
burn,S42,62
burn,S42,42
burn,S42,61
burn,S42,60
burn,S42,64
burn,S42,65
burn,S42,38
burn,S42,46
burn,S42,49
burn,S42,56
mow,S42,47
mow,S42,64
mow,S42,38
mow,S42,60
mow,S42,69
mow,S42,74
mow,S42,63
mow,S42,81
mow,S42,33
mow,S42,58
mow,S42,72
mow,S42,54
mow,S42,57
mow,S42,58
mow,S42,47
mow,S42,48
mow,S42,53
mow,S42,55
mow,S42,55
control,S43,55
control,S43,51
control,S43,45
control,S43,56
control,S43,41
control,S43,35
control,S43,29
control,S43,49
control,S43,47
control,S43,46
control,S43,68
control,S43,34
burn,S43,29
burn,S43,60
burn,S43,27
burn,S43,52
burn,S43,40
burn,S43,47
burn,S43,38
burn,S43,62
burn,S43,43
burn,S43,75
burn,S43,51
burn,S43,41
mow,S43,40
mow,S43,53
mow,S43,48
mow,S43,65
mow,S43,50
mow,S43,64
mow,S43,65
mow,S43,36
mow,S43,44
mow,S43,54
mow,S43,51
mow,S43,39
control,S44,56
control,S44,63
control,S44,57
control,S44,47
control,S44,21
control,S44,61
control,S44,44
control,S44,52
control,S44,48
control,S44,46
control,S44,54
control,S44,45
control,S44,48
control,S44,56
control,S44,57
control,S44,48
control,S44,31
control,S44,50
control,S44,53
control,S44,45
burn,S44,62
burn,S44,50
burn,S44,84
burn,S44,46
burn,S44,59
burn,S44,38
burn,S44,32
burn,S44,74
burn,S44,47
burn,S44,69
burn,S44,48
burn,S44,37
burn,S44,24
burn,S44,59
burn,S44,51
burn,S44,63
burn,S44,78
burn,S44,77
burn,S44,45
burn,S44,60
mow,S44,56
mow,S44,42
mow,S44,44
mow,S44,44
mow,S44,44
mow,S44,51
mow,S44,43
mow,S44,46
mow,S44,30
mow,S44,43
mow,S44,36
mow,S44,46
mow,S44,56
mow,S44,55
mow,S44,68
mow,S44,58
mow,S44,48
mow,S44,49
mow,S44,59
mow,S44,49
control,S45,39
control,S45,38
control,S45,31
control,S45,56
control,S45,57
control,S45,46
control,S45,33
control,S45,16
control,S45,53
control,S45,73
control,S45,61
control,S45,49
control,S45,55
control,S45,49
control,S45,69
control,S45,34
control,S45,42
control,S45,55
burn,S45,55
burn,S45,66
burn,S45,52
burn,S45,61
burn,S45,50
burn,S45,46
burn,S45,42
burn,S45,48
burn,S45,51
burn,S45,50
burn,S45,65
burn,S45,40
burn,S45,57
burn,S45,72
burn,S45,56
burn,S45,64
burn,S45,54
burn,S45,66
mow,S45,54
mow,S45,56
mow,S45,76
mow,S45,34
mow,S45,57
mow,S45,30
mow,S45,55
mow,S45,68
mow,S45,49
mow,S45,50
mow,S45,19
mow,S45,56
mow,S45,50
mow,S45,47
mow,S45,50
mow,S45,52
mow,S45,53
mow,S45,46
control,S46,55
control,S46,56
control,S46,29
control,S46,55
control,S46,55
control,S46,42
control,S46,52
control,S46,38
control,S46,37
control,S46,38
control,S46,62
control,S46,31
control,S46,37
control,S46,39
burn,S46,56
burn,S46,29
burn,S46,36
burn,S46,45
burn,S46,30
burn,S46,61
burn,S46,72
burn,S46,45
burn,S46,71
burn,S46,41
burn,S46,48
burn,S46,42
burn,S46,54
burn,S46,51
mow,S46,43
mow,S46,69
mow,S46,35
mow,S46,67
mow,S46,48
mow,S46,42
mow,S46,39
mow,S46,53
mow,S46,48
mow,S46,57
mow,S46,58
mow,S46,42
mow,S46,66
mow,S46,28
control,S47,64
control,S47,36
control,S47,40
control,S47,34
control,S47,64
control,S47,30
control,S47,38
control,S47,45
control,S47,66
control,S47,23
burn,S47,46
burn,S47,51
burn,S47,55
burn,S47,44
burn,S47,52
burn,S47,54
burn,S47,68
burn,S47,67
burn,S47,49
burn,S47,44
mow,S47,47
mow,S47,75
mow,S47,72
mow,S47,54
mow,S47,34
mow,S47,61
mow,S47,51
mow,S47,52
mow,S47,55
mow,S47,52
control,S48,58
control,S48,28
control,S48,39
control,S48,45
control,S48,25
control,S48,52
control,S48,36
burn,S48,37
burn,S48,49
burn,S48,35
burn,S48,35
burn,S48,38
burn,S48,44
burn,S48,55
mow,S48,40
mow,S48,31
mow,S48,32
mow,S48,42
mow,S48,33
mow,S48,35
mow,S48,45
control,S49,48
control,S49,35
control,S49,49
control,S49,53
control,S49,40
control,S49,58
control,S49,33
control,S49,46
burn,S49,37
burn,S49,39
burn,S49,40
burn,S49,44
burn,S49,61
burn,S49,44
burn,S49,53
burn,S49,44
mow,S49,46
mow,S49,51
mow,S49,37
mow,S49,45
mow,S49,39
mow,S49,54
mow,S49,35
mow,S49,50
control,S50,53
control,S50,34
control,S50,32
control,S50,52
control,S50,39
control,S50,71
burn,S50,56
burn,S50,52
burn,S50,56
burn,S50,54
burn,S50,62
burn,S50,56
mow,S50,58
mow,S50,52
mow,S50,47
mow,S50,50
mow,S50,63
mow,S50,48
